# gapseq version: 1.4.0
# Sequence DB md5sum: ae174b5 (2025-12-01, Bacteria)
# Genome format: nucl
rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
TRIOSEPISOMERIZATION-RXN	triose-phosphate isomerase	5.3.1.1		UniRef90_A7INK7	47.325	1.24e-60	203	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1368075	1368785	|GLYCOLYSIS|	good_blast	NA	rxn00747 	NA	0	1
F16ALDOLASE-RXN	fructose-1,6-bisphosphate aldolase	4.1.2.13/4.1.2.7	NA	UniRef90_P0A991	33.546	3.43e-37	139	88	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	285967	286842	|GLYCOLYSIS|	bad_blast	NA	rxn00786 rxn01334 rxn01870 rxn15116 rxn28981 rxn31335 rxn33841 rxn33866 	NA	0	NA
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11	NA	UniRef90_P06999	26.423	4.67e-04	38.5	78	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	803559	804284	|GLYCOLYSIS|	bad_blast	NA	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002 	NA	0	NA
PGLUCISOM-RXN	phosphoglucose isomerase	5.3.1.9	NA	UniRef90_Q04UY8	29.268	2.03e-25	107	81	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2449787	2450740	|GLYCOLYSIS|	bad_blast	NA	rxn00558 rxn01977 rxn02380 rxn15364 rxn20522 rxn33602 rxn33838 rxn37760 	NA	0	NA
PEPSYNTH-RXN	phosphoenolpyruvate synthetase	2.7.9.2	NA	UniRef90_Q9K0I2	24.438	3.39e-25	109	78	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2105184	2107154	|GLYCOLYSIS|	bad_blast	NA	rxn00147 	NA	0	NA
F16BDEPHOS-RXN	fructose 1,6-bisphosphatase	3.1.3.11		UniRef90_P0A9C9	47.853	1.41e-83	273	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2282422	2283360	|GLYCOLYSIS|	good_blast	NA	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
F16BDEPHOS-RXN	fructose 1,6-bisphosphatase	3.1.3.11		UniRef90_P21437	44.375	6.00e-68	227	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2282425	2283345	|GLYCOLYSIS|	good_blast	NA	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
F16BDEPHOS-RXN	fructose 1,6-bisphosphatase	3.1.3.11		UniRef90_P44811	45.652	1.49e-59	203	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2282419	2283345	|GLYCOLYSIS|	good_blast	NA	rxn00549 rxn15494 rxn33589 rxn33840 	NA	0	1
RXN-15513	phosphoglycerate mutase	5.4.2.11/3.1.3.13	NA	UniRef90_A1WDX2	30.000	1.04e-09	55.5	86	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	516592	517125	|GLYCOLYSIS|	bad_blast	NA	rxn01104 rxn01106 rxn18917 rxn33847 	NA	0	NA
TRANS-RXN-157	transport of beta-D-glucose by PTS	2.7.1.199		UniRef90_P0AEP7	32.188	1.54e-78	268	91	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2125801	2124194	|GLYCOLYSIS|	good_blast	NA	 	NA	0	1
MALSYN-RXN	malate synthase G	2.3.3.9/4.1.3.2	NA									|GLYOXDEG-PWY|	no_blast	NA	rxn00330 rxn20162 rxn33881 	NA	0	NA
RXN0-7229	glycolate dehydrogenase	1.1.99.14		UniRef90_P0AEP7	32.188	1.54e-78	268	91	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2125801	2124194	|GLYOXDEG-PWY|	good_blast	NA	rxn05851 rxn08655 rxn11933 rxn19863 rxn34300 	NA	0	1
MALSYN-RXN	malate synthase A	2.3.3.9/4.1.3.2	NA									|GLYOXYLATE-BYPASS|	no_blast	NA	rxn00330 rxn20162 rxn33881 	NA	0	NA
ISOCIT-CLEAV-RXN	isocitrate lyase	4.1.3.1	NA									|GLYOXYLATE-BYPASS|	no_blast	NA	rxn00336 rxn15045 rxn15046 	NA	0	NA
ACONITATEHYDR-RXN	cis-aconitate hydratase	4.2.1.3/4.2.1.4	NA									|GLYOXYLATE-BYPASS|	no_blast	NA	rxn00973 rxn00974 rxn01388 rxn15171 rxn15172 rxn15280 rxn15281 rxn19040 rxn32587 	NA	0	NA
CITSYN-RXN	citrate synthase	2.3.3.3/2.3.3.16/2.3.3.1/4.1.3.7		UniRef90_O33915	68.941	0.0	639	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210869	1209595	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00256 rxn19316 rxn33853 	NA	0	1
CITSYN-RXN	citrate synthase	2.3.3.3/2.3.3.16/2.3.3.1/4.1.3.7		UniRef90_P18789	60.613	0.0	561	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210866	1209595	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00256 rxn19316 rxn33853 	NA	0	1
CITSYN-RXN	citrate synthase	2.3.3.3/2.3.3.16/2.3.3.1/4.1.3.7		UniRef90_P09948	57.944	3.74e-169	523	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210875	1209595	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00256 rxn19316 rxn33853 	NA	0	1
CITSYN-RXN	citrate synthase	2.3.3.3/2.3.3.16/2.3.3.1/4.1.3.7		UniRef90_I6Y9Q3	39.024	4.37e-65	222	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	459476	460573	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00256 rxn19316 rxn33853 	NA	0	1
ACONITATEDEHYDR-RXN	aconitase	4.2.1.3/4.2.1.4		UniRef90_O33915	68.941	0.0	639	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210869	1209595	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00973 rxn00974 rxn01388 rxn15171 rxn15172 rxn15280 rxn15281 rxn19040 rxn32587 	NA	0	1
ACONITATEDEHYDR-RXN	aconitase	4.2.1.3/4.2.1.4		UniRef90_P18789	60.613	0.0	561	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210866	1209595	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00973 rxn00974 rxn01388 rxn15171 rxn15172 rxn15280 rxn15281 rxn19040 rxn32587 	NA	0	1
ACONITATEDEHYDR-RXN	aconitase	4.2.1.3/4.2.1.4		UniRef90_P09948	57.944	3.74e-169	523	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210875	1209595	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00973 rxn00974 rxn01388 rxn15171 rxn15172 rxn15280 rxn15281 rxn19040 rxn32587 	NA	0	1
ACONITATEDEHYDR-RXN	aconitase	4.2.1.3/4.2.1.4		UniRef90_I6Y9Q3	39.024	4.37e-65	222	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	459476	460573	|GLYOXYLATE-BYPASS|	good_blast	NA	rxn00973 rxn00974 rxn01388 rxn15171 rxn15172 rxn15280 rxn15281 rxn19040 rxn32587 	NA	0	1
MALATE-DEH-RXN	malate dehydrogenase	1.1.1.37	NA	UniRef90_P19982	35.714	0.19	23.9	94	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	251342	251259	|GLYOXYLATE-BYPASS|	bad_blast	NA	rxn00248 	NA	0	NA
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	alanine-glyoxylate transaminase	2.6.1.44		UniRef90_O33915	68.941	0.0	639	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210869	1209595	|GLYSYN-ALA-PWY|	good_blast	full	rxn00272 rxn33941 	NA	0	1
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	alanine-glyoxylate transaminase	2.6.1.44		UniRef90_P18789	60.613	0.0	561	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210866	1209595	|GLYSYN-ALA-PWY|	good_blast	full	rxn00272 rxn33941 	NA	0	1
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	alanine-glyoxylate transaminase	2.6.1.44		UniRef90_P09948	57.944	3.74e-169	523	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	1210875	1209595	|GLYSYN-ALA-PWY|	good_blast	full	rxn00272 rxn33941 	NA	0	1
ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN	alanine-glyoxylate transaminase	2.6.1.44		UniRef90_I6Y9Q3	39.024	4.37e-65	222	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	459476	460573	|GLYSYN-ALA-PWY|	good_blast	full	rxn00272 rxn33941 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A5G0E0	73.995	0.0	588	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135289	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q4UK96	60.900	3.75e-174	537	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135280	2134015	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_P56990	63.133	6.20e-170	525	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q2ILI1	61.687	4.17e-166	514	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134018	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A7HDY8	62.077	7.37e-166	513	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A4G7M4	62.530	7.17e-166	513	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_O66776	59.903	1.63e-165	512	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_O85718	58.057	3.77e-165	511	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135277	2134015	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A1VRC8	61.836	5.24e-165	510	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A1TRH1	62.560	5.88e-165	510	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135256	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q0ABQ9	58.852	1.04e-164	509	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134015	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A0KNH4	59.809	1.01e-163	507	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134018	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q129K3	61.650	1.60e-163	506	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135256	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q2FWE5	59.518	2.13e-161	500	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_B8FJ72	57.933	6.04e-161	499	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134018	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_D3DKC4	57.729	2.55e-160	498	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A9WI58	59.806	1.45e-160	498	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134024	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q5WB66	61.151	2.02e-159	494	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_B4U7S5	58.213	1.23e-158	492	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q47MD6	59.762	1.85e-156	486	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q5ZXK6	59.233	5.61e-155	482	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134018	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A8FSQ9	60.671	4.10e-153	476	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A4W0W9	57.857	6.54e-152	473	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135277	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A5I526	56.955	9.52e-151	469	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135268	2134126	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q5XC65	58.111	2.17e-148	463	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135250	2134015	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_B1MYF5	60.526	2.20e-146	457	92	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134129	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q15WB3	59.716	1.25e-144	452	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134018	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A6Q7H8	54.612	6.73e-144	450	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135250	2134015	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A7ZFA4	52.871	1.64e-143	449	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134012	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A0LV49	54.348	5.26e-140	439	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135268	2134027	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_B0RDR3	58.734	1.04e-139	438	93	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135286	2134117	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q4AAB2	54.354	1.16e-137	432	90	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135250	2134117	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A1A1V0	54.703	1.04e-136	430	91	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135217	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_O86565	59.198	2.28e-134	422	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135277	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q4JU69	53.222	3.16e-133	420	94	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A6WF55	55.556	8.91e-133	419	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134012	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_Q6AAU3	45.435	1.43e-109	354	93	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135265	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_A4X6P4	46.035	3.93e-105	341	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135250	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
GLYOHMETRANS-RXN	serine hydroxymethyltransferase	2.1.2.1		UniRef90_P50434	55.859	1.06e-82	267	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2134773	2134021	|GLYSYN-PWY|	good_blast	full	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
THREONINE-ALDOLASE-RXN	L-threonine aldolase	4.1.2.48/4.1.2.5		UniRef90_D3DKC4	57.729	2.55e-160	498	95	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2135262	2134021	|GLYSYN-THR-PWY|	good_blast	full	rxn00541 rxn04142 rxn28676 	NA	0	1
MHPCHYDROL-RXN	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase	3.7.1.14	NA	UniRef90_B2JQW2	28.839	2.26e-19	85.1	91	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	708526	709278	|HCAMHPDEG-PWY|	bad_blast	NA	rxn01895 rxn04604 	NA	0	NA
1.13.11.16-RXN	2,3-dihydroxyphenylpropionate 1,2-dioxygenase	1.13.11.16	NA									|HCAMHPDEG-PWY|	no_blast	NA	rxn03038 rxn04603 	NA	0	NA
MHPHYDROXY-RXN	3-(3-hydroxyphenyl)propanoate hydroxylase	1.14.13.127	NA									|HCAMHPDEG-PWY|	no_blast	NA	rxn04601 rxn04602 	NA	0	NA
PHENPRODIOLDEHYDROG-RXN	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	1.3.1.87	NA	UniRef90_P0CI31	26.357	5.00e-10	56.6	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2203720	2203010	|HCAMHPDEG-PWY|	bad_blast	NA	rxn04599 rxn04600 	NA	0	NA
HCAMULTI-RXN	3-phenylpropionate dioxygenase	1.14.12.19	NA	UniRef90_P0CI31	26.357	5.00e-10	56.6	96	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2203720	2203010	|HCAMHPDEG-PWY|	bad_blast	NA	rxn04597 rxn04598 	NA	0	NA
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_A5G1D5	51.862	9.81e-111	352	94	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799464	2798421	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_A6WX72	46.110	1.58e-96	310	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799458	2798421	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_Q28KJ9	46.552	4.13e-96	309	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799458	2798421	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_A4YPC0	43.966	7.68e-93	300	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799458	2798421	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_Q0AKD9	45.143	7.95e-91	294	98	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799464	2798418	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_P32920	44.886	7.34e-80	262	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799458	2798421	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_P42503	42.571	6.57e-76	251	99	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799458	2798418	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
UROGENDECARBOX-RXN	uroporphyrinogen decarboxylase	4.1.1.37		UniRef90_B4RD11	43.931	4.84e-69	231	97	NZ_CP011120.1 Acetobacter oryzifermentans strain SLV-7 chromosome, complete genome	2799455	2798424	|HEME-BIOSYNTHESIS-II-1|	good_blast	full	rxn02288 rxn03384 rxn34012 	NA	0	1
